Year,Acres_Bearing,Price_per_CWT,Production_USD,Utilized_Production_CWT
2022,70709,114,3259100000,28494300
2017,58117,107,2459234000,28850850
2024,NA,124,3996863000,32225500
2023,NA,123,3543596000,28725400
2021,NA,129,3583960000,27854700
2020,NA,97.1,2591759000,26684200
2019,NA,115,2749961000,23958700
2018,NA,93.5,2921954000,29094850
2016,NA,110,3243711000,29578600
2015,NA,73,2239301000,NA
2014,NA,93.3,2821854000,NA
2013,NA,85.6,2609038000,NA
2012,NA,80.4,2453039000,NA
2011,NA,82.65,2391406000,NA
2010,NA,79.05,2260733000,NA
2009,NA,76,2129585000,NA
2008,NA,75.8,1918288000,NA
2007,NA,71.6,1751108000,NA
2006,NA,63.2,1519494000,NA
2005,NA,60.1,1396385000,NA
2004,NA,58.5,1295464000,NA
2003,NA,63.849999999999994,1375142000,NA
2002,NA,61.6,1161630000,NA
2001,NA,64.7,1068582000,NA
2000,NA,55,1044594000,NA
1999,NA,62.5,1144876000,NA
1998,NA,61.1,1000254000,NA
1997,NA,55.5,903350000,NA
